,Location,Date,Time,2H,18O,17O
2227,Campus Pond Up ,10/11/25,3:47 PM,-45.562205,-7.146046,-3.471235
2228,Campus Pond Down,10/11/25,3:51 PM,-41.630391,-6.582862,-3.132073
2261,Tan Brook Down,10/15/25,9:14 AM,-56.291665,-8.516687,-4.515768
2262,UMass Farm,10/15/25,9:24 AM,-49.597721,-7.760867,-4.126048
2263,MR Rec Area - Picnic tables,10/15/25,9:55 AM,-50.91624,-7.975555,-4.20245
2264,MR Rec Area - Baseball Field,10/15/25,9:58 AM,-50.461555,-8.019118,-4.09621
2265,MR Rec - Julius Lester Bridge,10/15/25,10:03 AM,-49.588496,-7.924788,-4.060736
2266,Lower MR Trail Bridge,10/15/25,10:12 AM,-50.28158,-7.99348,-4.006574
2267,Puffers Waterfall,10/15/25,10:38 AM,-50.425745,-7.974253,-4.135338
2268,Puffers Beach,10/15/25,10:46 AM,-50.855493,-8.030085,-4.250358
2269,Upper Puffers - Bridge,10/15/25,10:54 AM,-50.825717,-8.036534,-4.391302
2270,Upper Puffers - Railroad,10/15/25,10:59 AM,-49.694726,-8.008861,-4.046214
2271,Haskin Meadows -fishing spot,10/15/25,11:57 AM,-49.896351,-8.137369,-3.925105
2272,Haskin Meadows upstream,10/15/25,12:04 PM,-50.109755,-8.073852,-4.019277
2273,Atkins Reservoir,10/15/25,12:19 PM,-41.057973,-5.777414,-3.217566
2274,Roaring,10/15/25,12:28 PM,-51.832097,-8.239571,-4.489849
2275,Broad Hill,10/15/25,12:36 PM,-52.219396,-8.383702,-4.499541
2276,Shutesbury Cemetary,10/15/25,12:48 PM,-46.415329,-7.461965,-3.86848
2277,Doolittle,10/15/25,1:10 PM,-50.684294,-8.045668,-4.199505
2278,Leverett Library,10/15/25,1:22 PM,-53.580113,-8.476438,-4.394664
2279,Leverett Pond,10/15/25,1:44 PM,-29.801967,-3.492891,-1.312232
2280,Eastman Up,10/15/25,1:55 PM,-41.146975,-6.172453,-2.61769
2281,Eastman Down,10/15/25,2:06 PM,-50.609775,-8.174308,-3.686969
2282,Mill Site,10/15/25,2:13 PM,-49.995697,-8.047027,-3.598243
2283,Knightly,10/15/25,2:20 PM,-51.968382,-8.33205,-3.979989
2284,LW Boat Ramp,10/15/25,2:27 PM,-42.625889,-7.016072,-3.216967
2285,Prindle School,10/15/25,2:51 PM,-39.767566,-6.398443,-3.180867
2286,Horse Farm Up,10/15/25,3:07 PM,-42.250421,-6.792454,-3.461103
2287,Umass Stadium,10/15/25,3:14 PM,-45.060031,-7.232164,-3.679078
2288,Tan Brook Up ,10/15/25,3:24 PM,-50.492147,-8.121317,-4.170732
2289,Fieldstone,10/15/25,3:29 PM,-50.932099,-8.091308,-4.185691
2290,Horse Farm Down,10/15/25,3:29 PM,-44.75008,-7.082778,-3.591276
2474,Tan Brook Up ,3/28/26,9:29:00 AM,-60.545812,-9.225318,-4.833974
2475,Campus Pond UP,3/28/26,9:51:00 AM,-58.708534,-8.989163,-4.710219
2476,Campus Pond Down,3/28/26,10:03:00 AM,-58.981029,-8.917836,-4.652933
2477,Roaring,3/28/26,10:37:00 AM,-67.267911,-10.120352,-5.115179
2478,Doolittle,3/28/26,10:56:00 AM,-60.217798,-9.264776,-4.885652
2479,Eastman Up,3/28/26,11:26:00 AM,-63.05224,-9.497399,-4.960766
2480,Eastman Down,3/28/26,11:53:00 AM,,,
2481,Knightly,3/28/26,12:24:00 PM,,,
2482,Mill Site,3/28/26,12:45:00 PM,,,
2483,Lake Warner Outlet,3/28/26,1:17:00 AM,,,
2484,Horse Up,3/28/26,1:44:00 PM,,,
2485,Horse Down,3/28/26,2:02:00 PM,,,
2486,Wet Center,3/28/26,2:22:00 PM,,,
2487,Tan Brook Down,3/28/26,2:40:00 PM,,,
2510,UMass Farm,3/28/26,9:39 AM,,,
2511,Brandywine Pond,3/28/26,9:51 AM,,,
2512,MR Julius Bridge,3/28/26,10:08 AM,,,
2513,Puffers Waterfall,3/28/26,10:32 AM,,,
2514,Puffers Pond Beach,3/28/26,10:42 AM,,,
